primary_genre,lead_actor,director,production_company,vote_count,popularity,vote_average,revenue,budget,specificity,count,source,added_date
Action,50 Cent,Mike Gunther,Grindstone Entertainment Group,150,4.85,4.7,2128186.0,20000000.0,Full,,,
Action,Aamir Khan,Vijay Krishna Acharya,Yash Raj Films,86,5.33,6.0,91000000.0,19500000.0,Full,,,
Action,Aaron Eckhart,Jon Amiel,Paramount Pictures,531,11.66,5.5,74208267.0,60000000.0,Full,,,
Action,Aaron Eckhart,Jonathan Liebesman,Columbia Pictures,1462,6.75,5.5,202466756.0,70000000.0,Full,,,
Action,Aaron Paul,Scott Waugh,DreamWorks SKG,1560,18.27,6.1,203277636.0,66000000.0,Full,,,
Action,Aaron Taylor-Johnson,Gareth Edwards,Toho Company,3232,14.02,6.1,529076069.0,160000000.0,Full,,,
Action,Aaron Taylor-Johnson,Jeff Wadlow,Universal Pictures,2275,13.57,6.3,60700000.0,28000000.0,Full,,,
Action,Aaron Taylor-Johnson,Matthew Vaughn,Lionsgate,4747,17.26,7.1,96188903.0,28000000.0,Full,,,
Action,Abhishek Bachchan,Goldie Behl,Unknown,5,0.76,2.6,3250000.0,15000000.0,Full,,,
Action,Abhishek Bachchan,Mani Ratnam,Madras Talkies,15,1.16,4.2,4200000.0,4500000.0,Full,,,
Action,Abhishek Bachchan,Sanjay Gadhvi,Yash Raj Films,53,3.11,6.2,12000000.0,1500000.0,Full,,,
Action,Adam Sandler,Chris Columbus,Columbia Pictures,2564,21.15,5.6,243637091.0,88000000.0,Full,,,
Action,Ajith Kumar,A.R. Murugadoss,Vijayam Cine Combines,5,0.35,5.3,500000.0,500000.0,Full,,,
Action,Ajith Kumar,K. S. Ravikumar,Nic Arts,5,0.46,6.7,500000.0,500000.0,Full,,,
Action,Ajith Kumar,Siva,Vijaya Productions,11,1.92,5.8,19000000.0,5900000.0,Full,,,
Action,Ajith Kumar,Vasanth,Unknown,2,0.37,6.0,500000.0,500000.0,Full,,,
Action,Ajith Kumar,Venkat Prabhu,Sun Pictures,14,1.15,5.6,28000000.0,6100000.0,Full,,,
Action,Ajith Kumar,Vishnuvardhan,Sri Sathya Sai Movies,8,0.88,6.0,21000000.0,9200000.0,Full,,,
Action,Akira Terao,Akira Kurosawa,Nippon Herald Films,349,12.25,7.9,4069653.0,11500000.0,Full,,,
Action,Akshay Kumar,Anees Bazmee,Reliance Entertainment,22,1.37,5.3,25000000.0,14000000.0,Full,,,
Action,Akshay Kumar,Nikhil Advani,Warner Bros.,13,1.97,5.3,9400000.0,10500000.0,Full,,,
Action,Akshay Kumar,Prabhu Deva,SLB Films Pvt. Ltd.,24,1.31,5.6,31000000.0,6700000.0,Full,,,
Action,Al Pacino,Brian De Palma,Universal Pictures,1911,10.0,7.85,51200358.0,27500000.0,Full,,,
Action,Al Pacino,Michael Mann,Regency Enterprises,1886,17.92,7.7,187436818.0,60000000.0,Full,,,
Action,Alec Baldwin,John McTiernan,Paramount Pictures,971,15.91,7.2,199200000.0,30000000.0,Full,,,
Action,Alex Pettyfer,D.J. Caruso,DreamWorks SKG,1606,9.39,5.9,144492830.0,50000000.0,Full,,,
Action,Alexa PenaVega,Robert Rodriguez,Dimension Films,893,9.58,5.5,147934180.0,35000000.0,Full,,,
Action,Alexander Skarsgård,David Yates,Village Roadshow Pictures,2488,45.38,5.5,356743061.0,180000000.0,Full,,,
Action,Amber Valletta,Brian Levant,Robert Simonds Productions,351,6.66,5.5,45236543.0,28000000.0,Full,,,
