primary_genre,lead_actor,director,production_company,vote_count,popularity,vote_average,count,source,added_date
Action,Other,Other,Sony Pictures Classics,1046,11.97,6.02,1,prediction,2025-11-05
Action,Other,Other,Any,1046,11.97,6.02,1,prediction,2025-11-05
Action,Other,Any,Any,1046,11.97,6.02,1,prediction,2025-11-05
Any,Other,Any,Any,1046,11.97,6.02,1,prediction,2025-11-05
Any,Any,Other,Any,1046,11.97,6.02,1,prediction,2025-11-05
Action,Brad Pitt,Other,Sony Pictures Classics,2086,14.82,6.52,1,prediction,2025-11-05
Action,Brad Pitt,Other,Any,2086,14.82,6.52,1,prediction,2025-11-05
Action,Keanu Reeves,Other,Sony Pictures Classics,2891,44.84,6.52,1,prediction,2025-11-05
Action,Keanu Reeves,Other,Any,2891,44.84,6.52,1,prediction,2025-11-05
Animation,Other,Other,Walt Disney Pictures,4190,20.35,7.55,1,prediction,2025-11-05
Animation,Other,Other,Any,4190,20.35,7.55,1,prediction,2025-11-05
Animation,Other,Any,Any,4190,20.35,7.55,1,prediction,2025-11-05
Action,Other,Other,Warner Bros.,1046,11.97,6.02,1,prediction,2025-11-05
Action,Other,Other,Any,1046,11.97,6.02,1,prediction,2025-11-05
Action,Other,Any,Any,1046,11.97,6.02,1,prediction,2025-11-05
Any,Other,Any,Any,1046,11.97,6.02,1,prediction,2025-11-05
Any,Any,Other,Any,1046,11.97,6.02,1,prediction,2025-11-05
